Quarter,SalesRep,Region,Product,Discount,Units,Cost,Price,Order Sales,Profit,Year
Q3,Christy  Olson,West,Doublers,0.03,2,64.32,79.95,155.1,26.46,2013-08-15
Q4,Dan  Peterson,MidWest,Sunshine,0.02,2,10.24,19.95,39.3,18.82,2014-11-11
Q4,Andrew  Meyer,West,Majectic Beaut,0.02,3,13.0,30.0,88.2,49.2,2013-11-15
Q4,Andrew  Meyer,West,Quad,0.0,2,27.0,34.0,68.0,14.0,2013-10-24
Q4,Andrew  Meyer,West,Carlota,0.0,4,10.25,22.95,91.8,50.8,2014-11-16
Q4,Rachel  Gomez,MidWest,Bellen,0.03,1,11.37,22.95,22.38,11.01,2014-11-10
Q3,Rachel  Gomez,MidWest,Carlota,0.02,2,10.25,22.95,44.98,24.48,2013-07-16
Q1,Rachel  Gomez,MidWest,Sunbell,0.0,1,12.42,25.0,25.0,12.58,2013-01-16
Q4,Arturo  Francis,East,Carlota,0.02,4,10.25,22.95,90.42,49.42,2013-11-15
Q1,Arturo  Francis,East,Sunshine,0.0,3,10.24,19.95,59.85,29.13,2014-03-10
Q4,Sylvester  Morales,West,Carlota,0.01,2,10.25,22.95,45.44,24.94,2014-10-19
Q4,Ben  Perez,West,Quad,0.02,2,27.0,34.0,66.64,12.64,2013-12-11
Q4,Ben  Perez,West,Bellen,0.0,1,11.37,22.95,22.95,11.58,2014-11-01
Q1,Bernadette  Page,MidWest,Sunshine,0.0,2,10.24,19.95,39.9,19.42,2013-01-12
Q4,Mable  Lindsey,West,Crested Beaut,0.01,3,16.0,25.0,74.25,26.25,2013-10-22
Q4,Mable  Lindsey,West,Quad,0.03,2,27.0,34.0,66.3,12.3,2014-10-26
Q3,Beth  Tucker,West,Sunbell,0.02,2,12.42,25.0,49.25,24.41,2014-06-22
Q4,Isabel  Cross,East,Majectic Beaut,0.03,1,13.0,30.0,29.25,16.25,2014-10-29
Q4,Isabel  Cross,East,Sunshine,0.03,1,10.24,19.95,19.45,9.21,2013-11-20
Q4,Bethany  Pena,MidWest,Crested Beaut,0.0,3,16.0,25.0,75.0,27.0,2013-11-13
Q2,Kyle  Carr,MidWest,Quad,0.01,3,27.0,34.0,100.98,19.98,2014-05-17
Q4,Billie  Chandler,MidWest,Sunset,0.03,3,13.5,23.5,68.39,27.89,2013-10-28
Q4,Billie  Chandler,MidWest,Sunshine,0.0,2,10.24,19.95,39.9,19.42,2013-11-19
Q4,Billie  Chandler,MidWest,FlatTop,0.02,1,17.2,27.5,26.95,9.75,2014-10-24
Q4,Billie  Chandler,MidWest,Quad,0.0,2,27.0,34.0,68.0,14.0,2013-11-11
Q4,Shari  Silva,South,Quad,0.01,2,27.0,34.0,67.32,13.32,2014-11-20
Q1,Shari  Silva,South,Sunshine,0.0,1,10.24,19.95,19.95,9.71,2014-02-25
Q4,Shari  Silva,South,Carlota,0.03,3,10.25,22.95,67.13,36.38,2014-11-06
Q4,Shari  Silva,South,Sunshine,0.01,3,10.24,19.95,59.25,28.53,2014-11-02
Q2,Bobbie  Ryan,East,Crested Beaut,0.02,2,16.0,25.0,49.25,17.25,2014-04-02
Q4,Brooke  Horton,MidWest,Doublers,0.0,2,64.32,79.95,159.9,31.26,2013-10-24
Q4,Brooke  Horton,MidWest,Sunbell,0.01,2,12.42,25.0,49.5,24.66,2014-11-13
Q4,Drew  Rogers,MidWest,Sunset,0.0,1,13.5,23.5,23.5,10.0,2013-11-28
Q3,Cassandra  Franklin,MidWest,FlatTop,0.02,1,17.2,27.5,27.09,9.89,2013-09-12
Q2,Cassandra  Franklin,MidWest,Sunset,0.0,2,13.5,23.5,47.0,20.0,2014-05-31
Q4,Cassandra  Franklin,MidWest,Sunshine,0.03,3,10.24,19.95,58.05,27.33,2014-11-07
Q1,Cassandra  Franklin,MidWest,Sunbell,0.0,2,12.42,25.0,50.0,25.16,2013-01-09
Q3,Cecilia  Manning,South,Bellen,0.02,2,11.37,22.95,44.98,22.24,2014-07-14
Q1,Jenny  Garcia,MidWest,Doublers,0.0,1,64.32,79.95,79.95,15.63,2012-12-25
Q3,Jenny  Garcia,MidWest,Quad,0.0,3,27.0,34.0,102.0,21.0,2014-06-24
Q3,Christina  Fuller,West,Aspen,0.0,2,12.0,21.0,42.0,18.0,2013-08-25
Q4,Colleen  Warren,West,Sunbell,0.03,3,12.42,25.0,73.13,35.87,2013-11-05
Q4,Pauline  Beck,West,Sunshine,0.0,1,10.24,19.95,19.95,9.71,2013-11-26
Q4,Cindy  Becker,South,Carlota,0.02,1,10.25,22.95,22.61,12.36,2014-11-04
Q4,Cindy  Becker,South,Bellen,0.03,1,11.37,22.95,22.38,11.01,2013-12-09
Q4,Don  Gonzales,South,Majectic Beaut,0.03,1,13.0,30.0,29.1,16.1,2013-11-18
Q4,Elaine  Ellis,South,Carlota,0.03,2,10.25,22.95,44.52,24.02,2013-10-16
Q4,Donna  Reid,West,Bellen,0.0,2,11.37,22.95,45.9,23.16,2013-11-17
Q2,Nellie  Joseph,East,Sunbell,0.0,1,12.42,25.0,25.0,12.58,2013-04-09
Q4,Guillermo  Potter,MidWest,Aspen,0.03,1,12.0,21.0,20.37,8.37,2014-10-24
Q4,Guillermo  Potter,MidWest,Sunshine,0.01,3,10.24,19.95,59.25,28.53,2013-10-26
Q4,Lynette  Brewer,MidWest,Sunshine,0.0,3,10.24,19.95,59.85,29.13,2013-11-06
Q1,Eric  Rose,West,Sunbell,0.0,2,12.42,25.0,50.0,25.16,2013-02-15
Q4,Eric  Rose,West,Sunbell,0.0,2,12.42,25.0,50.0,25.16,2013-11-07
Q4,Lance  Yates,MidWest,Sunshine,0.01,2,10.24,19.95,39.5,19.02,2014-10-31
Q4,Lula  Daniels,MidWest,FlatTop,0.01,3,17.2,27.5,81.68,30.08,2013-12-13
Q2,Robert  Munoz,MidWest,Aspen,0.0,4,12.0,21.0,84.0,36.0,2013-06-01
Q4,Robert  Munoz,MidWest,Sunbell,0.02,1,12.42,25.0,24.5,12.08,2013-11-03
Q4,Ivan  Adkins,West,Carlota,0.0,1,10.25,22.95,22.95,12.7,2013-10-17
Q4,Ivan  Adkins,West,V-Rang,0.01,3,10.23,19.0,56.43,25.74,2014-10-05
Q4,Sandra  Floyd,MidWest,Aspen,0.01,2,12.0,21.0,41.58,17.58,2013-12-07
Q1,Lee  Mack,MidWest,Carlota,0.02,1,10.25,22.95,22.49,12.24,2013-01-09
Q4,Trevor  Jones,West,FlatTop,0.03,3,17.2,27.5,80.44,28.84,2014-11-09
