Quarter,SalesRep,Region,Product,Discount,Units,Cost,Price,Order Sales,Profit
Q3 41517,Christy  Olson,West,Doublers,0.03,2,64.32,79.95,155.10,26.46
Q4 41970,Dan  Peterson,MidWest,Sunshine,0.02,2,10.24,19.95,39.30,18.82
Q4 41609,Andrew  Meyer,West,Majectic Beaut,0.02,3,13.00,30.00,88.20,49.20
Q4 41587,Andrew  Meyer,West,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41975,Andrew  Meyer,West,Carlota,0,4,10.25,22.95,91.80,50.80
Q4 41969,Rachel  Gomez,MidWest,Bellen,0.03,1,11.37,22.95,22.38,11.01
Q3 41487,Rachel  Gomez,MidWest,Carlota,0.02,2,10.25,22.95,44.98,24.48
Q1 41306,Rachel  Gomez,MidWest,Sunbell,0,1,12.42,25.00,25.00,12.58
Q4 41609,Arturo  Francis,East,Carlota,0.02,4,10.25,22.95,90.42,49.42
Q1 41724,Arturo  Francis,East,Sunshine,0,3,10.24,19.95,59.85,29.13
Q4 41947,Sylvester  Morales,West,Carlota,0.01,2,10.25,22.95,45.44,24.94
Q4 41635,Ben  Perez,West,Quad,0.02,2,27.00,34.00,66.64,12.64
Q4 41960,Ben  Perez,West,Bellen,0,1,11.37,22.95,22.95,11.58
Q1 41302,Bernadette  Page,MidWest,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41585,Mable  Lindsey,West,Crested Beaut,0.01,3,16.00,25.00,74.25,26.25
Q4 41954,Mable  Lindsey,West,Quad,0.03,2,27.00,34.00,66.30,12.30
Q3 41828,Beth  Tucker,West,Sunbell,0.02,2,12.42,25.00,49.25,24.41
Q4 41957,Isabel  Cross,East,Majectic Beaut,0.03,1,13.00,30.00,29.25,16.25
Q4 41614,Isabel  Cross,East,Sunshine,0.03,1,10.24,19.95,19.45,9.21
Q4 41607,Bethany  Pena,MidWest,Crested Beaut,0,3,16.00,25.00,75.00,27.00
Q2 41792,Kyle  Carr,MidWest,Quad,0.01,3,27.00,34.00,100.98,19.98
Q4 41591,Billie  Chandler,MidWest,Sunset,0.03,3,13.50,23.50,68.39,27.89
Q4 41613,Billie  Chandler,MidWest,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41952,Billie  Chandler,MidWest,FlatTop,0.02,1,17.20,27.50,26.95,9.75
Q4 41605,Billie  Chandler,MidWest,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41979,Shari  Silva,South,Quad,0.01,2,27.00,34.00,67.32,13.32
Q1 41711,Shari  Silva,South,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41965,Shari  Silva,South,Carlota,0.03,3,10.25,22.95,67.13,36.38
Q4 41961,Shari  Silva,South,Sunshine,0.01,3,10.24,19.95,59.25,28.53
Q2 41747,Bobbie  Ryan,East,Crested Beaut,0.02,2,16.00,25.00,49.25,17.25
Q4 41587,Brooke  Horton,MidWest,Doublers,0,2,64.32,79.95,159.90,31.26
Q4 41972,Brooke  Horton,MidWest,Sunbell,0.01,2,12.42,25.00,49.50,24.66
Q4 41622,Drew  Rogers,MidWest,Sunset,0,1,13.50,23.50,23.50,10.00
Q3 41545,Cassandra  Franklin,MidWest,FlatTop,0.02,1,17.20,27.50,27.09,9.89
Q2 41806,Cassandra  Franklin,MidWest,Sunset,0,2,13.50,23.50,47.00,20.00
Q4 41966,Cassandra  Franklin,MidWest,Sunshine,0.03,3,10.24,19.95,58.05,27.33
Q1 41299,Cassandra  Franklin,MidWest,Sunbell,0,2,12.42,25.00,50.00,25.16
Q3 41850,Cecilia  Manning,South,Bellen,0.02,2,11.37,22.95,44.98,22.24
Q1 41284,Jenny  Garcia,MidWest,Doublers,0,1,64.32,79.95,79.95,15.63
Q3 41830,Jenny  Garcia,MidWest,Quad,0,3,27.00,34.00,102.00,21.00
Q3 41527,Christina  Fuller,West,Aspen,0,2,12.00,21.00,42.00,18.00
Q4 41599,Colleen  Warren,West,Sunbell,0.03,3,12.42,25.00,73.13,35.87
Q4 41620,Pauline  Beck,West,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41963,Cindy  Becker,South,Carlota,0.02,1,10.25,22.95,22.61,12.36
Q4 41633,Cindy  Becker,South,Bellen,0.03,1,11.37,22.95,22.38,11.01
Q4 41612,Don  Gonzales,South,Majectic Beaut,0.03,1,13.00,30.00,29.10,16.10
Q4 41579,Elaine  Ellis,South,Carlota,0.03,2,10.25,22.95,44.52,24.02
Q4 41611,Donna  Reid,West,Bellen,0,2,11.37,22.95,45.90,23.16
Q2 41389,Nellie  Joseph,East,Sunbell,0,1,12.42,25.00,25.00,12.58
Q4 41952,Guillermo  Potter,MidWest,Aspen,0.03,1,12.00,21.00,20.37,8.37
Q4 41589,Guillermo  Potter,MidWest,Sunshine,0.01,3,10.24,19.95,59.25,28.53
Q4 41600,Lynette  Brewer,MidWest,Sunshine,0,3,10.24,19.95,59.85,29.13
Q1 41336,Eric  Rose,West,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41601,Eric  Rose,West,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41959,Lance  Yates,MidWest,Sunshine,0.01,2,10.24,19.95,39.50,19.02
Q4 41637,Lula  Daniels,MidWest,FlatTop,0.01,3,17.20,27.50,81.68,30.08
Q2 41442,Robert  Munoz,MidWest,Aspen,0,4,12.00,21.00,84.00,36.00
Q4 41597,Robert  Munoz,MidWest,Sunbell,0.02,1,12.42,25.00,24.50,12.08
Q4 41580,Ivan  Adkins,West,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41933,Ivan  Adkins,West,V-Rang,0.01,3,10.23,19.00,56.43,25.74
Q4 41631,Sandra  Floyd,MidWest,Aspen,0.01,2,12.00,21.00,41.58,17.58
Q1 41299,Lee  Mack,MidWest,Carlota,0.02,1,10.25,22.95,22.49,12.24
Q4 41968,Trevor  Jones,West,FlatTop,0.03,3,17.20,27.50,80.44,28.84
Q4 41613,Max  Rodgers,West,Sunshine,0,3,10.24,19.95,59.85,29.13
Q4 41997,Max  Rodgers,West,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41974,Peter  Hodges,MidWest,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41973,Peter  Hodges,MidWest,Bellen,0.01,3,11.37,22.95,68.16,34.05
Q4 41594,Salvador  Bass,West,FlatTop,0.02,2,17.20,27.50,54.18,19.78
Q4 41990,Salvador  Bass,West,Sunset,0,3,13.50,23.50,70.50,30.00
Q4 41956,Bobbie  Ryan,East,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41986,Andrew  Meyer,West,Carlota,0,2,10.25,22.95,45.90,25.40
Q4 41608,Isabel  Cross,East,Bellen,0,3,11.37,22.95,68.85,34.74
Q4 41636,Della  Jensen,East,FlatTop,0,1,17.20,27.50,27.50,10.30
Q4 41625,Drew  Rogers,MidWest,Sunshine,0.03,2,10.24,19.95,38.70,18.22
Q4 41614,Iris  Underwood,West,Quad,0,3,27.00,34.00,102.00,21.00
Q4 41598,Drew  Rogers,MidWest,Quad,0.01,1,27.00,34.00,33.66,6.66
Q1 41295,Jenny  Garcia,MidWest,Quad,0.02,3,27.00,34.00,100.47,19.47
Q3 41545,Lorraine  Gibson,East,Sunshine,0.01,3,10.24,19.95,59.25,28.53
Q4 41989,Elaine  Ellis,South,Crested Beaut,0.03,1,16.00,25.00,24.38,8.38
Q4 41944,Eric  Rose,West,Bellen,0.03,3,11.37,22.95,66.78,32.67
Q3 41544,Isabel  Cross,East,Quad,0,1,27.00,34.00,34.00,7.00
Q4 41985,Woodrow  Colon,South,Sunset,0.03,2,13.50,23.50,45.59,18.59
Q3 41489,Edwin  Malone,East,Sunbell,0,1,12.42,25.00,25.00,12.58
Q4 41596,Paulette  Spencer,South,Bellen,0.02,3,11.37,22.95,67.47,33.36
Q4 41616,Cassandra  Franklin,MidWest,Bellen,0.02,2,11.37,22.95,44.98,22.24
Q4 41956,Allan  Ramos,MidWest,Sunbell,0.03,2,12.42,25.00,48.50,23.66
Q3 41832,Eric  Rose,West,Quad,0.01,1,27.00,34.00,33.66,6.66
Q4 41972,Cassandra  Franklin,MidWest,Carlota,0,3,10.25,22.95,68.85,38.10
Q4 41971,Della  Jensen,East,Carlota,0.03,3,10.25,22.95,66.78,36.03
Q4 41617,Shari  Silva,South,Carlota,0.02,3,10.25,22.95,67.82,37.07
Q3 41838,Austin  Reynolds,East,Crested Beaut,0,3,16.00,25.00,75.00,27.00
Q4 41945,Dan  Peterson,MidWest,Sunshine,0.01,2,10.24,19.95,39.50,19.02
Q4 41961,Elbert  Klein,South,Sunshine,0.01,1,10.24,19.95,19.75,9.51
Q4 41627,Nellie  Joseph,East,Aspen,0,3,12.00,21.00,63.00,27.00
Q4 41617,Robert  Munoz,MidWest,Sunbell,0.03,2,12.42,25.00,48.75,23.91
Q4 41977,Herman  Williams,East,Sunset,0,3,13.50,23.50,70.50,30.00
Q4 41982,Cassandra  Franklin,MidWest,FlatTop,0.02,3,17.20,27.50,81.26,29.66
Q4 41606,Woodrow  Colon,South,Bellen,0,3,11.37,22.95,68.85,34.74
Q4 41591,Willie  Vega,MidWest,Majectic Beaut,0,2,13.00,30.00,60.00,34.00
Q4 41977,Cassandra  Franklin,MidWest,Doublers,0,2,64.32,79.95,159.90,31.26
Q2 41799,Lorraine  Gibson,East,Quad,0.02,2,27.00,34.00,66.64,12.64
Q3 41468,Christina  Fuller,West,Bellen,0,1,11.37,22.95,22.95,11.58
Q4 41584,Ivan  Adkins,West,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41962,Brooke  Horton,MidWest,FlatTop,0,3,17.20,27.50,82.50,30.90
